name	domain	email	title	key_activities	meetings
Will Cheung	piedpiper.com	wcheung@piedpiper.com	CEO	3	6
Jeff Johnson	piedpiper.com	jjohnson@piedpiper.com	Director of Customer Success	5	10
Jon Allen	piedpiper.com	jallen@piedpiper.com	Director of Support	1	2
Alex Chen	piedpiper.com	achen@piedpiper.com	CTO	0	1
Charlie Mains	piedpiper.com	cmains@piedpiper.com	Account Manager	0	0
Rick Morrison	piedpiper.com	rmorrison@piedpiper.com	CFO	0	0
Support	piedpiper.com	support@piedpiper.com	Support	0	0
Tim Roinas	hooli.com	tim.roinas@hooli.com	CTO	8	9
Bas Poel	hooli.com	bas.vanderpoel@hooli.com	Software Engineer	0	6
Abby Knight	hooli.com	abby.knight@hooli.com	Sales Engineer	0	3
William Chen	hooli.com	william.chen@hooli.com	Director of Engineering	1	5
Thanh Tran	hooli.com	thanh.tran@hooli.com	IT Director	0	1
Mary Lanckhoff	hooli.com	mary.lanckhoff@hooli.com	CMO	1	5
Ed Kellar	hooli.com	ed.kellar@hooli.com	Managing Director	0	0
