target	source	value
WILL CHEUNG	CAITLIN O'MALLEY	18
WILL CHEUNG	JORDAN SPICERA	6
WILL CHEUNG	DAVID HARRISON	8
WILL CHEUNG	TREVOR UTIN	6
WILL CHEUNG	RICHARD WANG	6
WILL CHEUNG	KELVIN LU	7
WILL CHEUNG	JO LIU	6
WILL CHEUNG	MICHAEL KARDASHIAN	12
WILL CHEUNG	DEBBIE CARTER	10
WILL CHEUNG	JAMES TAYLOR	16
WILL CHEUNG	JORDAN RODGERS	58
WILL CHEUNG	HENRY WU	19
WILL CHEUNG	ULLA NOTONOF	8
RICHARD WANG	CAITLIN O'MALLEY	16
RICHARD WANG	JORDAN SPICERA	58
RICHARD WANG	DAVID HARRISON	19
RICHARD WANG	HAMISH HAMIL	8
RICHARD WANG	TREVOR UTIN	322
RICHARD WANG	KELVIN LU	197
RICHARD WANG	JO LIU	6
KELVIN LU	WILL CHEUNG 4
KELVIN LU	CAITLIN O'MALLEY	27
KELVIN LU	JAMES TAYLOR	31
KELVIN LU	JORDAN RODGERS	89
KELVIN LU	JO LIU	6
KELVIN LU	HENRY WU	30
JO LIU	CAITLIN O'MALLEY	6
JO LIU	HAMISH HAMIL	21
JO LIU	DAVID HARRISON	20
CAITLIN O'MALLEY	MICHAEL KARDASHIAN	93
CAITLIN O'MALLEY	DEBBIE CARTER	6
CAITLIN O'MALLEY	HAMISH HAMIL	8
CAITLIN O'MALLEY	JORDAN SPICERA	6
CAITLIN O'MALLEY	JAMES TAYLOR	56
CAITLIN O'MALLEY	ULLA NOTONOF	10
CAITLIN O'MALLEY	OLIVIER INTELLI	6
CAITLIN O'MALLEY	TREVOR UTIN	6
CAITLIN O'MALLEY	HENRY WU	20
DAVID HARRISON	DEBBIE CARTER	27
DAVID HARRISON	HAMISH HAMIL	11
DAVID HARRISON	ULLA NOTONOF	66
DAVID HARRISON	OLIVIER INTELLI	221
DAVID HARRISON	TREVOR UTIN	6
DAVID HARRISON	HENRY WU	18
MICHAEL KARDASHIAN	DEBBIE CARTER	14
MICHAEL KARDASHIAN	HAMISH HAMIL	97
MICHAEL KARDASHIAN	JAMES TAYLOR	7
MICHAEL KARDASHIAN	JORDAN SPICERA	11
